"Treatment,""aac.6...II"",""aac.6...Ib.1"",""aac.6...Ib.2"",""aacC1"",""aacC2"",""aacC4"",""aadD"",""aacA.aphD"",""aadA.1a"",""aadA1.b"",""aadA5.1"",""aadA5.2"",""aadA9.1"",""aadA9.2"",""aph.2...Id"",""aph6ia"",""aphA1"",""aphA3"",""bla.ACC.1"",""BLA.SHV"",""blaTEM"",""blaTEM.1"",""blaTEM.2"",""blaVIM"",""blaPER"",""bla.L1"",""blaIMP.2."",""blaOXA1.blaOXA30"",""blaOXA10.1"",""blaCTX.M"",""blaCTX.Ma"",""blaCTX.Mb"",""blaCTX.Mc"",""blaCTX.Md"",""blaCTX.Me"",""CMYX...blacmy.2a."",""blaCMY2b"",""BLA.cmy.2"",""cfiA"",""cfxA"",""cphA.1."",""carB"",""CzrC1"",""X16s"",""X16s.1"",""X16s.2"",""dfrA12"",""IS26"",""ermB"",""ermB.1"",""ermB.2"",""ermB.jucl.Gun"",""ermB.jucl.Gun.1"",""ermB.jucl.Gun.2"",""Erm.F"",""ermT"",""InuB"",""InuC"",""IS1216"",""IS6100"",""msrD..matA.mel"",""mcr1"",""mefA"",""mecA"",""mphB"",""msrA"",""msrC"",""pbp2"",""sat4"",""str"",""strA"",""strB"",""Sul1"",""Sul2"",""spcN"",""tetA"",""tetB.1"",""tetB.2"",""tet.C.1"",""tet.C.2"",""TetL"",""tetM"",""tetO.1"",""tetO.2"",""Increp64"",""tet.W."",""TolC1"",""tetQ"",""tet.32."",""tetPA"",""tetPB"",""tetX"",""Van.A"",""vanB"",""VatE"",""water"""
80-07-05-2018,0,0,0,0,0,0,0,0,0.00916196827962007,0.0069541984160526,0,0,0,0,0,0,0.000179014254340422,0.0617648249598418,0,0,0.0470465202163274,0.0515446630292536,0.05477757106275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000756593301358068,0,0,0.000204519281584826,0.998791192475952,1.01015884220397,0.991141421208268,0,0.079806788284114,0.0268664453086217,0.0184963913409646,0.018706523598507,0.0209041059908586,0.0210069178935314,0.0272949238162925,0.000821861307368666,0.000343406650735606,0.00151181912681041,0,0.00306456136662026,0.00593345029057135,0.00395200480086502,0,0.0175317903906094,0,0,0,0,0,0.12675846702914,0.00021017750175283,0.00581115691888612,0.0762117339345235,0,0.15384203801589,0,0.060568078660236,0.00279301681319678,0.000705245048852986,0.00112418912071925,0.000473123935223374,0,0.000393082647689515,0.12910425834013,0.17746356891242,0.103277250216857,0.215131396503842,0.0465046928529775,0.0109413142455705,0.00608356681578687,0,0,0.000368973198736547,0,0,0,0
85-07-05-2018,0,0,0,0,0,0,0,0.000171591296087718,0.00740152405145822,0.00749094979948849,0,0,0,0.000389097105188035,0,0,0,0.0445870700959141,0,0,0.00202382142551643,0.00194549186407816,0.00169145443162658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046911017227081,0,0,0,0.947526830276123,1.04735037145447,1.00766573886034,0,0.0102972407004113,0.091283676725647,0.118116087352037,0.10888730564146,0.0953475489877825,0.0774888974659614,0.0765915596966665,0.0176855003881476,0.00119947581209572,0.0135693447673964,0,0.0726717672698536,0.00213049486030176,0.00526305266333919,0,0.0277632375008419,0,0,0,0.00233331300341925,0,0.0933554549483868,0.00361726940154525,0,0.00464055688114115,0,0.0066617031187128,0,0.0119143073261442,0.000712326487457274,0.000322441190096413,0.00111638149510324,0.000147237898080547,0.00989588142202256,0.0129892688372587,0.0616026392003244,0.0620460697683342,0.00310364213048962,0.329425293742299,0.020615567502768,0.0452307081700574,0.0161191951829057,0.000884119035794562,0,0.0102641472688729,0,0,0,0
90-07-05-2018,0,0,0,0,0,0,0,0.00035387468264112,0.0964825127428171,0.0815034922562112,0,0,0,0,0,0,0.000133540694801494,0.0110969867276133,0,0,0.307367243313173,0.371452804825118,0.330083461928861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303319641791443,0.977053274692925,1.02182238755155,1.00162773530472,0,0.666894121375195,0.358197404364815,0.364501225383372,0.365546394289037,0.304369510111203,0.291749999977291,0.301133061779357,0,0.00125945200230442,0.0268238039818237,0,0.268660084828316,0.214606425845765,0.00037685963929315,0,0,0,0,0,0,0,0.0243917429119375,0.00253984503745477,0.0130933199686206,0.352417400924037,0.000583610637695138,0.60966235569693,0,0.276844095336731,0.016909909361185,0.00978605425598773,0.0163054830820054,0.00962053737606489,0,0.0199704224593623,0.0236445633206281,0.0142943744044722,0.395120236545492,0.0459991682199883,0.112699671322208,0,0.000854670674540827,0.000105730456799822,0,0,0,0,0,0
105-07-05-2018,0,0,0,0,0,0,0,0.000212048495810935,0.00815889417482473,0.0114711891578558,0,0,0,0,0,0,0.000299685359529444,0.0890505458694861,0,0,0.0439546043522476,0.0401603523027688,0.0442319410169977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520371762118433,0,0,0,0.964281203968489,1.00702638595196,1.02980607273878,0,0.0862495112047288,0.207594193609857,0.2153315003107,0.26540687133722,0.331596540800653,0.207249935134397,0.171650596549804,0.0288998268755262,0,0.00277599070429439,0,0.150580689497043,0.0199461772526604,0.00972983378996641,0,0.053495239107707,0,0,0,0,0,0.110669248604808,0.00381369294432545,0.000214446784448262,0.0614440584317193,0,0.0856327820310791,0,0.0443203877918614,0,0,0,0,0.000967811184298837,0.0200058125351513,0.0446765595608834,0.0676916717864865,0.0599164561271276,0.344949861927915,0.00896225876596813,0.0752520099673817,0.0113375906635596,0,0,0.0213342231059106,0,0,0,0
110-07-05-2018,0,0,0,0,0,0,0,0.00425291614096938,0.0168447961480051,0.0161967138783723,0,0,0,0.000107394114661781,0,0,0,0.0716440886772949,0,0,0.0643898857635984,0.0701956055396985,0.0677214796397769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603668263397999,0,0,0.000363800693019058,0.993468960417281,0.966242989560266,1.04174000261393,0,0.0655526937732635,0.117911687620367,0.114605491927867,0.125966715672474,0.137042510152634,0.100305037256434,0.197563998573145,0.0132794116994939,0.000851669746088552,0.00491805610802773,0,0.107197517639004,0.0365502578888884,0.00594831806844742,0,0.0626040002216196,0.000482671640967322,0,0,0.000797316064019775,0,0.0980481766653353,0.00109252174143477,0,0.0901831598271499,0,0.16460645714639,0,0.0762983126650188,0,0,0,0,0.00113428851978818,0.0140446774582082,0.0796418237390883,0.0586516256624193,0.0982536283951438,0.335856077922492,0.0139319259560879,0.0653907311195988,0.010133141260243,0,0,0.00899749166673534,0,0.000420043919406239,0,0
115-07-05-2018,0,0,0,0,0,0,0,0,0.00807652455088414,0.00751949548285954,0,0.000179046036509565,0,0,0,0,0.00247240450149924,0.0299633085598375,0,0,0.0161393096848227,0.0139470866888539,0.0147740440454176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106763273310012,0,0,0,0,0,0,0.974749348970842,1.02187059252814,1.00394782927032,0,0.0181626912210356,0.0735321028394063,0.0641534305437259,0.0634169491982219,0.0671945286843853,0.0672709032750025,0.068855024506854,0.0015392885685885,0,0.000283301102560241,0,0.0849645587471194,0.00821775707608621,0.00221290981365893,0,0.0220144584558984,0,0.000617284931341321,0,0,0,0.0674997266738617,0,0.00230800486050797,0.0211966116902443,0,0.0344205901290224,0,0.0117420889756894,0.000284927918822178,0.000939306797478222,0.00261057834435983,0.000758463950719833,0,0.0104833006900594,0.0899525930627335,0.0869174133261891,0.0154551056999382,0.0784950444355593,0.0851458886371923,0.0357111277004448,0.00877001216464274,0.000437577336062046,0,0.00052106800340789,0,0,0,0
130-07-05-2018,0,0,0,0,0,0,0.000334120003977087,0,0.000497095437374598,0.000859882665127016,0,0,0,0,0,0,0,0.0683882487635302,0,0,0.00276499088881525,0.00335155341312683,0.00239779239908845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108454484514269,0,0,0,1.08258551683342,0.955357328705583,0.966878599485682,0,0.00375904924855291,0.251009249777554,0.267939831019085,0.235920286852851,0.212534692559925,0.196690335890335,0.321280678730727,0.064625156674909,0,0.00192458045496796,0,0.0719959761245355,0.00138078546714138,0.0794382944831363,0,0.155473732925058,0,0,0,0,0,0.055230593965166,0.000124353113086003,0.00150649477281311,0.00248663666297558,0,0.00236840155995285,0,0.00143427098063632,0.00285106536941184,0.00114152785960148,0.00190962107908503,0.00106293383988999,0,0.00145515946016669,0.0660305602358777,0.129780766472454,0.00256562451078661,0.402197168626571,0.00285331870306551,0.19802355076971,0.0359692842079238,0.000175344573339797,0,0.0501297567918507,0,0.000407507785268688,0,0
135-07-05-2018,0,0,0,0,0,0,0,0.000187993392191362,0.00348281087773467,0.00248904352554178,0,0.000240329157257044,0,0,0,0,0.00031853202017742,0.0608191333205995,0,0,0.00664215828520967,0.00475097122806964,0.0059226621857373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247007375398359,0,0,0,1.01192330699582,1.02331368860594,0.965703082202534,0,0.0273807577147232,0.10327919510824,0.103530441310219,0.0988111673797859,0.0883283134887251,0.0796895214570023,0.0761238500797184,0.029923189412305,0,0.00983766276012122,0,0.0186901703297696,0,0.0191989275044058,0,0.0572091960924022,0,0.000360651170628154,0,0.000317438673509222,0,0.0729725583988426,0.000406178985753064,0.00144168111531095,0.00875826035658088,0,0.0116069521921203,0,0.00406204542454268,0.001709501680763,0.00125827006939963,0.00128556901900485,0.000548092464555884,0.000932549611982212,0.00211270310195377,0.0757153410954417,0.0873773680264381,0.0064689802086218,0.432413850680281,0.00321426844149629,0.171713757710815,0.0167924087155803,0,0,0.00840248837454473,0,0.004323495809568,0,0
140-07-05-2018,0,0,0,0,0,0,0,0,0.0887466920114883,0.0774056156117673,0,0.00126543817261191,0,0,0,0,0,0.0065282657005584,0,0,0.00147937369345482,0.000172562966549843,0.000884291650598739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356007033839937,0,0,0,1.12964967559329,0.994816794030785,0.889842429283206,0,0.392737035310975,0.0849826407246729,0.0575307451554471,0.0636630121356411,0.0490327110516893,0.103896010647472,0.0566821553670632,0.00165081566040007,0,0.000298889118907802,0,0.0218551163161941,0.0114080861893304,0.000501251830546362,0,0.0164594003278027,0,0,0,0,0,0.00754095009125574,0.000553306911840345,0.000381649667923183,0.00292376035004685,0,0.00449703788665105,0,0.000399531533959237,0.00217943249011049,0.00124588823380963,0.000567057122529123,0,0,0.00201718133663869,0.0218759649839786,0.0318189619329935,0.000874202506172002,0.0528116586227045,0.116952992280192,0.0431444276951263,0.00329328140194701,0,0,0.00206770639686379,0,0,0,0
145-07-05-2018,0,0,0,0,0,0,0.000270119042290636,0,0.00240428810790297,0.00829578845384804,0,0,0,0.000249620335374738,0,0,0.00025831987775748,0.0382264424840683,0,0,0.00652272106135233,0.00669184407206411,0.00829956814377374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268038311626482,0,0.00807850658085181,0,0,0,0.991327991969745,1.00659928917332,1.0021344943074,0.000108902291861304,0.0621738486337228,0.102063078345535,0.110869121897548,0.106152358513747,0.084703470461175,0.0833595599676633,0.0797278800670793,0.00300700512826531,0,0.00166234258801325,0,0.00920642842978996,0.0213824750809504,0.000629254982990071,0,0.0202464064731823,0,0.00651395206530928,0,0,0,0.0352275576506656,0.00132404513307891,0.00244889676198773,0.0119573896280391,0,0.0413398501953448,0,0.0141263477324213,0.0206080344466697,0.00826628087103168,0.0173652507025974,0.00902464580091702,0,0.00110986769722746,0.0371253817596541,0.0565751319201582,0.00628691025608643,0.24500283841973,0.0152286912850183,0.0330206485370277,0.0215482411019298,0,0,0.00321891002050622,0,0.000145572344822437,0,0
